Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709059180560,0,0,0,0,0,0,0,0,28.056367874145508,26.562299728393555,23.357952117919922,20.25779914855957,10.047842025756836,6.9698615074157715,4.39378023147583,2.9541783332824707,8.107799530029297,8589934592,2147483648,5791891456,785383424
104,1709059180560,0,0,0,0,0,0,0,0,28.056365966796875,26.562299728393555,23.35795021057129,20.25779914855957,10.047842025756836,6.9698615074157715,4.393779754638672,2.9541780948638916,8.107799530029297,8589934592,2147483648,5792104448,785383424
104,1709059180665,0,0,0,0,0,0,0,0,28.056367874145508,26.562294006347656,23.357948303222656,20.257793426513672,10.047883033752441,6.969891548156738,4.3937835693359375,2.9541759490966797,8.107799530029297,8589934592,2147483648,5819793408,785383424
104,1709059180770,0,0,0,0,0,0,0,0,28.05635643005371,26.562278747558594,23.357933044433594,20.257789611816406,10.047945022583008,6.969899654388428,4.393787384033203,2.9541738033294678,8.107799530029297,8589934592,2147483648,5822021632,785383424
104,1709059180875,0,0,0,0,0,0,0,0,28.05633544921875,26.562267303466797,23.3579158782959,20.257776260375977,10.048007011413574,6.9698944091796875,4.393784046173096,2.954171895980835,8.107799530029297,8589934592,2147483648,5822054400,785383424
104,1709059180980,0,0,0,0,0,0,0,0,28.05631446838379,26.5622501373291,23.35789680480957,20.257762908935547,10.048070907592773,6.969890117645264,4.3937811851501465,2.954169273376465,8.107799530029297,8589934592,2147483648,5822103552,785383424
104,1709059181085,0,0,0,0,0,0,0,0,28.056312561035156,26.56222915649414,23.357892990112305,20.257753372192383,10.048139572143555,6.969884872436523,4.393777847290039,2.954167366027832,8.107799530029297,8589934592,2147483648,5822283776,785383424
104,1709059181190,0,0,0,0,0,0,0,0,28.056293487548828,26.562217712402344,23.357877731323242,20.25773811340332,10.048201560974121,6.969879627227783,4.393774032592773,2.954164981842041,8.107799530029297,8589934592,2147483648,5822251008,785383424
104,1709059181295,0,0,0,0,0,0,0,0,28.056278228759766,26.562204360961914,23.357858657836914,20.257722854614258,10.048271179199219,6.969875335693359,4.393770694732666,2.954163074493408,8.107799530029297,8589934592,2147483648,5822562304,785383424
104,1709059181400,0,0,0,0,0,0,0,0,28.05626106262207,26.56218719482422,23.35784339904785,20.257707595825195,10.048333168029785,6.969869136810303,4.393767833709717,2.954160690307617,8.107799530029297,8589934592,2147483648,5822562304,785383424
104,1709059181505,0,0,0,0,0,0,0,0,28.056236267089844,26.562166213989258,23.357824325561523,20.257694244384766,10.048402786254883,6.969864845275879,4.393764495849609,2.9541587829589844,8.241546630859375,8589934592,2147483648,5822562304,785383424
