Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709298141036,0,0,0,0,0,0,0,0,20.45161247253418,19.1943359375,16.508275985717773,13.186986923217773,10.384793281555176,8.222249984741211,5.691464424133301,3.9299278259277344,7.1239094734191895,8589934592,0,5843714048,0
104,1709298141037,0,0,0,0,0,0,0,0,20.45161247253418,19.194334030151367,16.508275985717773,13.18698501586914,10.384793281555176,8.222248077392578,5.691464424133301,3.929927110671997,7.1239094734191895,8589934592,0,5843877888,0
104,1709298141142,0,0,0,0,0,0,0,0,20.451610565185547,19.194320678710938,16.50825309753418,13.186968803405762,10.384904861450195,8.222278594970703,5.691455841064453,3.9299216270446777,7.1239094734191895,8589934592,0,5860327424,0
104,1709298141247,0,0,0,0,0,0,0,0,20.451580047607422,19.194293975830078,16.50823974609375,13.18697452545166,10.384931564331055,8.222323417663574,5.691447734832764,3.9299156665802,7.1239094734191895,8589934592,0,5872599040,0
104,1709298141352,0,0,0,0,0,0,0,0,20.451549530029297,19.194276809692383,16.508214950561523,13.186955451965332,10.384916305541992,8.222454071044922,5.691438674926758,3.929910182952881,7.1239094734191895,8589934592,0,5872648192,0
104,1709298141457,0,0,0,0,0,0,0,0,20.45151710510254,19.194244384765625,16.50819206237793,13.186934471130371,10.384900093078613,8.222597122192383,5.691430568695068,3.929903745651245,7.1239094734191895,8589934592,0,5872615424,0
104,1709298141562,0,0,0,0,0,0,0,0,20.451488494873047,19.194217681884766,16.508180618286133,13.18691635131836,10.384885787963867,8.22272777557373,5.691421985626221,3.929898262023926,6.735576629638672,8589934592,0,5872893952,0
104,1709298141667,0,0,0,0,0,0,0,0,20.451457977294922,19.194190979003906,16.508153915405273,13.186895370483398,10.384871482849121,8.222856521606445,5.691413879394531,3.929892063140869,6.735576629638672,8589934592,0,5872910336,0
104,1709298141772,0,0,0,0,0,0,0,0,20.45142936706543,19.194164276123047,16.50813102722168,13.18687629699707,10.384854316711426,8.223000526428223,5.691404819488525,3.92988657951355,6.735576629638672,8589934592,0,5872943104,0
104,1709298141877,0,0,0,0,0,0,0,0,20.4514217376709,19.194162368774414,16.508106231689453,13.186857223510742,10.38484001159668,8.223115921020508,5.691396713256836,3.92989444732666,6.735576629638672,8589934592,0,5868060672,0
104,1709298141982,0,0,0,0,0,0,0,0,20.45138931274414,19.194133758544922,16.508081436157227,13.18683910369873,10.3848237991333,8.223104476928711,5.69138765335083,3.9300308227539063,6.735576629638672,8589934592,0,5868060672,0
104,1709298142087,0,0,0,0,0,0,0,0,20.451377868652344,19.194107055664063,16.508058547973633,13.186820030212402,10.384809494018555,8.223092079162598,5.691380023956299,3.930180788040161,6.735576629638672,8589934592,0,5867552768,0
104,1709298142192,0,0,0,0,0,0,0,0,20.451358795166016,19.194103240966797,16.508033752441406,13.186810493469238,10.384806632995605,8.223122596740723,5.691370964050293,3.930260181427002,6.735576629638672,8589934592,0,5875154944,0
