Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709179791068,0,0,0,0,0,0,0,0,18.553709030151367,17.39972686767578,14.305242538452148,12.085441589355469,13.584336280822754,10.566380500793457,7.093740463256836,4.863715648651123,6.589411735534668,8589934592,0,4971937792,0
104,1709179791068,0,0,0,0,0,0,0,0,18.553775787353516,17.39971351623535,14.305232048034668,12.085441589355469,13.584336280822754,10.56637191772461,7.093734264373779,4.863711357116699,6.589411735534668,8589934592,0,4972478464,0
104,1709179791173,0,0,0,0,0,0,0,0,18.55368995666504,17.39971923828125,14.305278778076172,12.085344314575195,13.584549903869629,10.566519737243652,7.093919277191162,4.863672256469727,6.589411735534668,8589934592,0,4987060224,0
104,1709179791278,0,0,0,0,0,0,0,0,18.553537368774414,17.399578094482422,14.305150985717773,12.085245132446289,13.58468246459961,10.566837310791016,7.0938615798950195,4.863629341125488,6.589411735534668,8589934592,0,4999331840,0
104,1709179791383,0,0,0,0,0,0,0,0,18.55338478088379,17.399436950683594,14.305034637451172,12.085138320922852,13.584561347961426,10.56762981414795,7.093799114227295,4.863590240478516,6.589411735534668,8589934592,0,4999249920,0
104,1709179791488,0,0,0,0,0,0,0,0,18.5532169342041,17.399280548095703,14.304905891418457,12.085040092468262,13.584451675415039,10.568349838256836,7.0937418937683105,4.863547325134277,6.564650058746338,8589934592,0,4999168000,0
104,1709179791593,0,0,0,0,0,0,0,0,18.553064346313477,17.399206161499023,14.304789543151855,12.084932327270508,13.585148811340332,10.568256378173828,7.093678951263428,4.863508224487305,6.564650058746338,8589934592,0,4999168000,0
104,1709179791698,0,0,0,0,0,0,0,0,18.552980422973633,17.399063110351563,14.304661750793457,12.084835052490234,13.585916519165039,10.568170547485352,7.093621730804443,4.863465309143066,6.564650058746338,8589934592,0,4999168000,0
104,1709179791803,0,0,0,0,0,0,0,0,18.552810668945313,17.398988723754883,14.304545402526855,12.08472728729248,13.586613655090332,10.568085670471191,7.093559265136719,4.863426208496094,6.564650058746338,8589934592,0,4999168000,0
104,1709179791908,0,0,0,0,0,0,0,0,18.55272674560547,17.398832321166992,14.304418563842773,12.08462905883789,13.587381362915039,10.56806468963623,7.093502044677734,4.8633832931518555,6.564650058746338,8589934592,0,4999168000,0
